arm,stratum,n,recall@1,recall@5,recall@10,recall@12,recall@20,recall@all,precision@1,precision@5,precision@10,precision@12,precision@20,precision@all,r_precision,mrr,ndcg@12
dense,overall,50,0.0567,0.1867,0.2967,0.3157,0.3757,0.559,0.08,0.044,0.034,0.035,0.025,0.0154,0.0567,0.1586,0.1762
dense,in_corpus,38,0.0746,0.2456,0.3904,0.4154,0.4944,0.7224,0.1053,0.0579,0.0447,0.0461,0.0329,0.0198,0.0746,0.2075,0.2318
dense,mixed,1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0154,0.0,0.0455,0.0
dense,ooc,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense,unparseable,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense_hyde,overall,50,0.0867,0.2824,0.3757,0.4057,0.4124,0.5424,0.1,0.076,0.052,0.0467,0.029,0.0171,0.1124,0.2136,0.2419
dense_hyde,in_corpus,38,0.114,0.3716,0.4812,0.5207,0.5294,0.7005,0.1316,0.1,0.0658,0.0592,0.0368,0.022,0.1479,0.2781,0.3134
dense_hyde,mixed,1,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.1,0.0833,0.05,0.0185,0.0,0.1111,0.1846
dense_hyde,ooc,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense_hyde,unparseable,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense_hyde_semantic,overall,50,0.08,0.25,0.3029,0.3229,0.4464,0.543,0.08,0.064,0.04,0.035,0.031,0.0178,0.1162,0.1942,0.2032
dense_hyde_semantic,in_corpus,38,0.1053,0.3289,0.3985,0.4248,0.5873,0.7014,0.1053,0.0842,0.0526,0.0461,0.0408,0.0229,0.1529,0.255,0.2673
dense_hyde_semantic,mixed,1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0185,0.0,0.0208,0.0
dense_hyde_semantic,ooc,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense_hyde_semantic,unparseable,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
